,date,close
3608,2003-07-14,6630
3609,2003-07-11,6580
3610,2003-07-10,6520
3611,2003-07-09,7280
3612,2003-07-08,7040
3613,2003-07-07,8000
3614,2003-07-04,7680
3615,2003-07-03,6860
3616,2003-07-02,6130
3617,2003-07-01,6110
3618,2003-06-30,6210
3619,2003-06-27,6080
3620,2003-06-26,6160
3621,2003-06-25,6200
3622,2003-06-24,6200
3623,2003-06-23,6120
3624,2003-06-20,6110
3625,2003-06-19,6030
3626,2003-06-18,6080
3627,2003-06-17,6350
3628,2003-06-16,6300
3629,2003-06-13,6400
3630,2003-06-12,6370
3631,2003-06-11,6160
3632,2003-06-10,6360
3633,2003-06-09,6850
3634,2003-06-05,6120
3635,2003-06-04,6160
3636,2003-06-03,6090
3637,2003-06-02,6100
3638,2003-05-30,6180
3639,2003-05-29,6030
3640,2003-05-28,6110
3641,2003-05-27,6290
3642,2003-05-26,6230
3643,2003-05-23,6200
3644,2003-05-22,6000
3645,2003-05-21,5930
3646,2003-05-20,6030
3647,2003-05-19,6040
3648,2003-05-16,5930
3649,2003-05-15,5900
3650,2003-05-14,5900
3651,2003-05-13,5880
3652,2003-05-12,5680
3653,2003-05-09,5750
3654,2003-05-07,5880
3655,2003-05-06,5850
3656,2003-05-02,5530
3657,2003-04-30,5440
3658,2003-04-29,5550
3659,2003-04-28,5390
3660,2003-04-25,5530
3661,2003-04-24,6130
3662,2003-04-23,6400
3663,2003-04-22,5990
3664,2003-04-21,6200
3665,2003-04-18,5730
3666,2003-04-17,5690
3667,2003-04-16,5690
3668,2003-04-15,5450
3669,2003-04-14,5400
3670,2003-04-11,5490
3671,2003-04-10,5500
3672,2003-04-09,5530
3673,2003-04-08,5500
3674,2003-04-07,5280
3675,2003-04-04,5350
3676,2003-04-03,5220
3677,2003-04-02,5250
3678,2003-04-01,5100
3679,2003-03-31,5130
3680,2003-03-28,5400
3681,2003-03-27,5320
3682,2003-03-26,5790
3683,2003-03-25,5170
3684,2003-03-24,5480
