,car_brand_name,car_fuel,car_type,name
145,현대,가솔린, ,뉴 아반떼 XD (03~06년)
146,현대,디젤, ,뉴 아반떼 XD (03~06년)
147,현대,가솔린+LPG, ,뉴 아반떼 XD (03~06년)
148,현대,가솔린, ,아반떼 XD (00~03년)
149,현대,가솔린, ,올 뉴 아반떼 (98~00년)
150,현대,가솔린, ,아슬란(14~18년)
151,현대,가솔린+전기, ,아이오닉 하이브리드 (16년~현재)
152,현대,전기, ,아이오닉 일렉트릭 (16년~현재)
153,현대,가솔린, ,아토스(97~02년)
154,현대,가솔린, ,에쿠스(신형) (09~15년)
155,현대,LPG(일반인 구입), ,에쿠스(신형) (09~15년)
156,현대,가솔린+LPG, ,에쿠스(신형) (09~15년)
157,현대,가솔린+CNG, ,에쿠스(신형) (09~15년)
158,현대,가솔린, ,에쿠스 (99~09년)
159,현대,LPG(일반인 구입), ,에쿠스 (99~09년)
160,현대,가솔린+LPG, ,에쿠스 (99~09년)
161,현대,가솔린+CNG, ,에쿠스 (99~09년)
162,현대,가솔린, ,엑센트(신형) (10년~현재)
163,현대,디젤, ,엑센트(신형) (10년~현재)
164,현대,가솔린, ,뉴 엑센트 (97~99년)
165,현대,가솔린, ,엑센트 (94~97년)
166,현대,가솔린, ,엘란트라 (90~93년)
167,현대,가솔린, ,제네시스 DH (13~16년)
168,현대,가솔린, ,제네시스 (08~13년)
169,현대,LPG(일반인 구입), ,제네시스 (08~13년)
170,현대,가솔린+LPG, ,제네시스 (08~13년)
171,현대,가솔린+CNG, ,제네시스 (08~13년)
172,현대,가솔린, ,더 뉴 제네시스 쿠페 (11~16년)
173,현대,가솔린, ,제네시스 쿠페 (08~11년)
174,현대,가솔린, ,코나 (17년~현재)
175,현대,디젤, ,코나 (17년~현재)
176,현대,가솔린, ,뉴 클릭 (05~10년)
177,현대,디젤, ,뉴 클릭 (05~10년)
178,현대,가솔린+전기, ,클릭 하이브리드 (04~06년)
179,현대,가솔린, ,클릭 (02~05년)
180,현대,가솔린, ,테라칸(01~06년)
181,현대,디젤, ,테라칸(01~06년)
182,현대,가솔린, ,투스카니(신형) (06~08년)
183,현대,가솔린, ,투스카니 (01~06년)
184,현대,가솔린, ,올 뉴 투싼 (15년~현재)
185,현대,디젤, ,올 뉴 투싼 (15년~현재)
186,현대,가솔린, ,뉴 투싼 ix (13~15년)
187,현대,디젤, ,뉴 투싼 ix (13~15년)
188,현대,가솔린, ,투싼 ix (09~13년)
189,현대,디젤, ,투싼 ix (09~13년)
190,현대,가솔린, ,투싼 (04~09년)
191,현대,디젤, ,투싼 (04~09년)
192,현대,디젤, ,트라제 XG(99~07년)
193,현대,LPG, ,트라제 XG(99~07년)
